"block_start","block_end","Family","mean_prob_A","mean_prob_C","mean_prob_D"
24.3991638261978,28.2691363582872,"Acroporidae",0.0968714646464647,0.883196392496392,0.0199321428571429
24.3991638261978,28.2691363582872,"Merulinidae",0,0.773033333333333,0.0719666666666667
24.3991638261978,28.2691363582872,"Nephtheidae ",0.350666666666667,0.172333333333333,0
24.3991638261978,28.2691363582872,"Pocilloporidae",0.873648706848707,0.126351293151293,0
24.3991638261978,28.2691363582872,"Sarcophytidae",0,0.796966666666667,0.0580333333333333
24.3991638261978,28.2691363582872,"Xeniidae",0,0.798,0.111
28.2691363582872,28.2765199426102,"Agariciidae",0.1202,0.43005,0.29975
28.2691363582872,28.2765199426102,"Euphylliidae",0.131919047619048,0.580297619047619,0.117783333333333
28.2691363582872,28.2765199426102,"Milleporidae",0.356633333333333,0.310883333333333,0.200483333333333
28.2691363582872,28.2765199426102,"Pocilloporidae",0.369579761904762,0.3621,0.268320238095238
28.2691363582872,28.2765199426102,"Poritidae",0.216891666666667,0.507905952380952,0.177202380952381
28.2765199426102,28.3349171494784,"Agariciidae",0.081,0.221333333333333,0.147666666666667
28.2765199426102,28.3349171494784,"Euphylliidae",0.0747333333333333,0.48815,0.249116666666667
28.2765199426102,28.3349171494784,"Milleporidae",0.350673809523809,0.278514285714286,0.237811904761905
28.2765199426102,28.3349171494784,"Pocilloporidae",0.366975721500721,0.378199134199134,0.254825144300144
28.2765199426102,28.3349171494784,"Poritidae",0.228816666666667,0.422636904761905,0.249546428571429
28.3349171494784,29.1413965773909,"Acroporidae",0,0.71185,0.11515
28.3349171494784,29.1413965773909,"Agariciidae",0,0.328666666666667,0.0733333333333333
28.3349171494784,29.1413965773909,"Diploastreidae ",0,0.164666666666667,0.161333333333333
28.3349171494784,29.1413965773909,"Merulinidae",0,0.2845,0.2485
28.3349171494784,29.1413965773909,"Pocilloporidae",0.800033333333333,0.123966666666667,0
28.3349171494784,29.1413965773909,"Xeniidae",0,0.22375,0.34625
